"kingdom" "supergroup" "division" "class" "order" "family" "genus" "species"
"asv_023_00081" "Eukaryota" "Archaeplastida" "Chlorophyta" "Mamiellophyceae" "Mamiellales" "Bathycoccaceae" "Bathycoccus" "Bathycoccus_prasinos"
"asv_023_00082" "Eukaryota" "Opisthokonta" "Choanoflagellida" "Choanoflagellatea" "Acanthoecida" "Stephanoecidae_Group_D" "Stephanoecidae_Group_D_X" "Stephanoecidae_Group_D_X_sp."
"asv_023_00083" "Eukaryota" "Stramenopiles" "Pseudofungi" "MAST-2" "MAST-2D" "MAST-2D_X" "MAST-2D_XX" "MAST-2D_XX_sp."
"asv_023_00084" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Raphid-pennate" "Raphid-pennate_X" "Raphid-pennate_X_sp."
"asv_023_00085" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Gyrodinium" "Gyrodinium_helveticum"
"asv_023_00086" "Eukaryota" "Hacrobia" "Haptophyta" "Prymnesiophyceae" "Prymnesiales" "Chrysochromulinaceae" "Chrysochromulina" "Chrysochromulina_sp."
"asv_023_00087" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Amphidiniopsidaceae" "Islandinium" "Islandinium_tricingulatum"
"asv_023_00088" "Eukaryota" "Stramenopiles" "Pseudofungi" "MAST-1" "MAST-1B" "MAST-1B_X" "MAST-1B_XX" "MAST-1B_XX_sp."
"asv_023_00089" "Eukaryota" "Stramenopiles" "Sagenista" "MAST-7" "MAST-7A" "MAST-7A_X" "MAST-7A_XX" "MAST-7A_XX_sp."
"asv_023_00090" "Eukaryota" "Stramenopiles" "Opalozoa" "MAST-3" "MAST-3L" "MAST-3L_X" "MAST-3L_XX" "MAST-3L_XX_sp."
"asv_023_00091" "Eukaryota" "Rhizaria" "Cercozoa" "Filosa-Thecofilosea" "Cryomonadida" "Cryothecomonas-lineage" "Cryothecomonas" "Cryothecomonas_aestivalis"
